name,rating,fields,employee_counts,company_types,ages,locations
JK Cement,4.1,Building Material,1k-5k Employees,Public,49 years old,Gurgaon/Gurugram +210 more
IndiGo,3.6,Aviation,10k-50k Employees,Fortune India 500,17 years old,Gurgaon/Gurugram +83 more
Torrent Pharmaceuticals,3.9,Pharma,10k-50k Employees,Public,52 years old,Ahmedabad +91 more
Bajaj Electricals,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,85 years old,Mumbai +182 more
Jubilant Foods Works,3.8,Retail,10k-50k Employees,Public,28 years old,Noida +177 more
Marpu Foundation,4.9,Non-Profit,11-50 Employees,7 years old,Hyderabad/Secunderabad +42 more,
ArcelorMittal Nippon Steel,4.0,Iron & Steel,5k-10k Employees,Conglomerate,Surat +59 more,
Titan Company,4.4,Retail,5k-10k Employees,Public,39 years old,Bangalore +130 more
Simplex Infrastructures,3.3,Engineering & Construction,1k-5k Employees,Public,99 years old,Kolkata +128 more
Reliance SMSL,4.0,BPO,1k-5k Employees,Public,16 years old,Mumbai +454 more
Wipro Enterprises Ltd,3.8,IT Services & Consulting,501-1k Employees,78 years old,Bangalore +76 more,
KPIT Technologies,3.6,Software Product,5k-10k Employees,Public,33 years old,Pune +24 more
Birlasoft,3.7,IT Services & Consulting,10k-50k Employees,Public,28 years old,Pune +31 more
Dilip Buildcon,4.0,Engineering & Construction,10k-50k Employees,Public,36 years old,Bhopal +168 more
UPL,4.1,Agro Chemicals,5k-10k Employees,Public,54 years old,Mumbai +139 more
KocharTech,4.2,IT Services & Consulting,1k-5k Employees,28 years old,Gurgaon/Gurugram +22 more,
Synechron,4.0,IT Services & Consulting,5k-10k Employees,22 years old,New York +20 more,
Domino's Pizza,3.9,Hospitality,1k-5k Employees,Public,63 years old,Ypsilanti +208 more
Huawei Technologies,4.0,IT Services & Consulting,51-200 Employees,21 years old,Gurgaon/Gurugram +92 more,
Apollo Tyres,4.1,Auto Components,5k-10k Employees,Public,51 years old,Gurgaon/Gurugram +145 more
Statestreet HCL Services,3.2,BPO,5k-10k Employees,11 years old,New Delhi +14 more,
Tata AIG,4.2,Insurance,5k-10k Employees,23 years old,Mumbai +204 more,
Lenskart,3.2,Internet,5k-10k Employees,Indian Unicorn,13 years old,Faridabad +140 more
Patanjali Ayurved,4.0,FMCG,5k-10k Employees,Fortune India 500,17 years old,Haridwar +252 more
S&P Global,4.2,IT Services & Consulting,5k-10k Employees,Public,106 years old,New York City +20 more
Suzlon Group,4.1,Power,5k-10k Employees,Public,28 years old,Pune +97 more
Flex,4.1,Electronics Manufacturing,5k-10k Employees,Forbes Global 2000,54 years old,San Jose +36 more
Capita,3.9,IT Services & Consulting,5k-10k Employees,18 years old,Indore +20 more,
McDonald's,4.2,Hospitality,5k-10k Employees,Forbes Global 2000,68 years old,Chicago +129 more
Lava International,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,14 years old,Noida +206 more
AGS Health,4.1,BPO,10k-50k Employees,12 years old,Washington DC +31 more,
AFCONS Infrastructure,4.4,Engineering & Construction,10k-50k Employees,64 years old,Mumbai +80 more,
Tech Mahindra Business Services,3.5,BPO,1k-5k Employees,Public,20 years old,Mumbai +41 more
Alstom Transportation,3.9,Engineering & Construction,5k-10k Employees,Forbes Global 2000,95 years old,Saint-Ouen +58 more
State Street Syntel,3.7,Financial Services,501-1k Employees,19 years old,Mumbai +18 more,
Zensar Technologies,3.8,IT Services & Consulting,5k-10k Employees,Public,22 years old,Pune +20 more
Taj Hotels Resorts and Palaces,4.2,Hospitality,10k-50k Employees,120 years old,Mumbai +88 more,
Mankind Pharma,4.1,Pharma,10k-50k Employees,Fortune India 500,28 years old,New Delhi +172 more
Capgemini Engineering,3.6,10k-50k Employees,Gurgaon/Gurugram +17 more,,,
IGT Solutions,3.3,IT Services & Consulting,5k-10k Employees,25 years old,Gurgaon/Gurugram +18 more,
Max Healthcare,4.1,Healthcare,1k-5k Employees,Fortune India 500,22 years old,Delhi/NCR +52 more
Square Yards,3.7,Real Estate,1k-5k Employees,10 years old,Gurgaon +39 more,
Birla Sun Life Insurance,4.2,Insurance,10k-50k Employees,23 years old,Mumbai +343 more,
Bajaj Allianz General Insurance,4.0,Insurance,5k-10k Employees,Pune +187 more,,
Walmart,4.0,Retail,5k-10k Employees,Forbes Global 2000,14 years old,Bangalore/Bengaluru +74 more
Landmark Group,4.0,Retail,1k-5k Employees,Conglomerate,50 years old,Dubai Marina +133 more
Tata Technologies,3.7,IT Services & Consulting,5k-10k Employees,Conglomerate,34 years old,Singapore +36 more
